Skip to main content | Skip to main navigation | Skip to navigation for this section of the website,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Go toUniversity of Virginia Libraryhome,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Historical Census Browser,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State Level Results for 1810,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
You may add more topics to the table by selecting them from the list below the table.,,,,,,,,,,,,,,,,,
You may delete topics from the table by selecting them from the list below the table.,,,,,,,,,,,,,,,,,
"To display proportions of the selected topics, choose one or more numerators and a single denominator.",,,,,,,,,,,,,,,,,
"To sort the data, choose one of the options below for sorting and choose ascending or descending.",,,,,,,,,,,,,,,,,
"To create a national map by state of one category, click on the ""Map it!"" button at the top of the column.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Add new topics, create proportions, change sort order",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"To select county-level data for all states, check the box for ""All States"" at the top of the list.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State,TOTAL POPULATION,TOTAL FREE PERSONS,ALL OTHER FREE PERSONS,FREE WHITE FEMALES 45 YEARS OF AGE AND OVER,FREE WHITE FEMALES 26-44 YEARS OF AGE,FREE WHITE FEMALES 16-25 YEARS OF AGE,FREE WHITE FEMALES 10-15 YEARS OF AGE,FREE WHITE FEMALES UNDER TEN YEARS OF AGE,FREE WHITE MALES 45 YEARS OF AGE AND OVER,FREE WHITE MALES 26-44 YEARS OF AGE,FREE WHITE MALES 16-25 YEARS OF AGE,FREE WHITE MALES 10-15 YEARS OF AGE,FREE WHITE MALES UNDER TEN YEARS OF AGE,FREE WHITES,FREE WHITE FEMALES,FREE WHITE MALES,SLAVES
"To retrieve county-level data, select a state and click the submit button below",,,,,,,,,,,,,,,,,
ALL STATES,,,,,,,,,,,,,,,,,
CONNECTICUT,"261,942","261,632","6,453","22,696","26,293","24,973","18,931","35,913","20,484","23,699","23,880","20,498","37,812","255,179","128,806","126,373",310
DELAWARE,"72,674","68,497","13,136","2,876","5,527","5,541","4,370","9,041","2,878","5,866","5,150","4,480","9,632","55,361","27,355","28,006","4,177"
GEORGIA,"252,433","147,215","1,801","6,238","12,350","13,461","11,237","26,283","7,435","14,372","14,085","11,951","28,002","145,414","69,569","75,845","105,218"
KENTUCKY,"406,511","325,950","1,713","13,482","25,920","29,511","25,743","60,776","17,542","29,553","29,772","26,804","65,134","324,237","155,432","168,805","80,561"
